,APPLICATION,BILL,BILL BINDER,BINDER,CANCELLATION NOTICE,CHANGE ENDORSEMENT,DECLARATION,DELETION OF INTEREST,EXPIRATION NOTICE,INTENT TO CANCEL NOTICE,NON-RENEWAL NOTICE,POLICY CHANGE,REINSTATEMENT NOTICE,RETURNED CHECK
APPLICATION,19,0,0,21,0,0,0,0,0,0,0,5,0,0
BILL,0,3257,20,105,176,0,22,2,16,6,2,145,7,1
BILL BINDER,0,24,12,14,0,0,0,0,0,0,0,11,0,0
BINDER,5,39,3,1615,7,4,20,2,2,0,0,149,0,0
CANCELLATION NOTICE,0,80,0,19,1618,0,7,62,1,14,10,50,37,1
CHANGE ENDORSEMENT,0,6,0,3,1,150,0,0,0,0,0,23,0,0
DECLARATION,1,15,0,82,8,0,28,7,1,2,1,32,0,1
DELETION OF INTEREST,0,1,0,5,85,1,2,884,0,4,0,11,1,1
EXPIRATION NOTICE,0,23,0,1,9,0,0,0,122,0,0,2,1,0
INTENT TO CANCEL NOTICE,0,7,0,4,11,0,0,0,0,32,0,2,0,0
NON-RENEWAL NOTICE,0,1,0,0,19,0,0,0,0,0,98,6,1,0
POLICY CHANGE,2,78,3,136,26,26,8,4,2,2,7,1759,18,1
REINSTATEMENT NOTICE,0,12,0,2,46,0,2,6,1,4,0,32,792,0
RETURNED CHECK,0,5,0,4,2,0,2,0,0,0,0,12,0,133
